Team,Rank,Assists,Team Games,Per Game,Corners,Fouls,Goals,GA,Diff,PS,psatt,Pct.,Points,Saves,SoG,ShAtt,Shutouts,Won,Loss,Tied,Team Min,GAA
Memphis,466.0,62.0,270.0,44.730999999999995,88.0,186.0,120.0,66.0,8.0,1.0,1.0,2.824,91.0,132.0,180.0,442.0,2.0,11.0,5.0,2.0,1620.0,1.222
Mercer,630.0,56.0,315.0,39.312999999999995,87.0,209.0,112.0,66.0,6.0,2.0,4.0,2.207,84.0,134.0,190.0,442.0,7.0,7.0,6.0,8.0,1910.0,1.037
Merrimack,929.0,44.0,240.0,48.675000000000004,79.0,201.0,104.0,72.0,2.0,2.0,3.0,2.318,74.0,130.0,202.0,418.0,2.0,5.0,7.0,4.0,1460.0,1.479
Michigan,498.0,38.0,270.0,39.003,90.0,192.0,92.0,81.0,-4.0,4.0,4.0,2.61,65.0,124.0,150.0,340.0,6.0,5.0,6.0,7.0,1620.0,1.5
Michigan St.,962.0,28.0,240.0,40.821999999999996,75.0,153.0,92.0,45.0,8.0,5.0,6.0,2.658,60.0,126.0,138.0,382.0,5.0,7.0,2.0,7.0,1440.0,0.938
Milwaukee,476.0,40.0,255.0,47.128,72.0,222.0,96.0,90.0,-6.0,4.0,6.0,2.213,68.0,150.0,206.0,430.0,2.0,4.0,9.0,4.0,1530.0,1.765
Missouri St.,108.0,62.0,270.0,44.226,88.0,155.0,120.0,33.0,19.0,1.0,1.0,3.065,91.0,90.0,234.0,458.0,10.0,12.0,3.0,3.0,1620.0,0.611
Monmouth,375.0,28.0,270.0,43.498999999999995,93.0,167.0,92.0,45.0,8.0,4.0,4.0,2.848,60.0,108.0,228.0,502.0,7.0,8.0,4.0,6.0,1660.0,0.813
Mount St. Mary's,1352.0,36.0,225.0,39.34,58.0,180.0,60.0,93.0,-16.0,1.0,3.0,1.636,48.0,110.0,130.0,302.0,0.0,2.0,10.0,3.0,1350.0,2.067
NC State,865.0,30.0,270.0,38.372,72.0,206.0,96.0,99.0,-9.0,3.0,3.0,2.511,63.0,124.0,150.0,340.0,4.0,6.0,9.0,3.0,1620.0,1.833
NIU,893.0,42.0,255.0,42.355,70.0,191.0,88.0,81.0,-5.0,1.0,4.0,1.9020000000000001,65.0,194.0,150.0,350.0,4.0,7.0,9.0,1.0,1550.0,1.568
NJIT,842.0,64.0,285.0,43.631,96.0,249.0,104.0,81.0,-1.0,1.0,1.0,2.621,84.0,152.0,152.0,372.0,4.0,7.0,8.0,4.0,1710.0,1.421
Navy,628.0,38.0,285.0,43.111,101.0,205.0,92.0,81.0,-4.0,3.0,3.0,2.57,65.0,132.0,194.0,470.0,8.0,6.0,8.0,5.0,1710.0,1.421
New Hampshire,408.0,42.0,270.0,50.669,106.0,192.0,132.0,36.0,21.0,2.0,2.0,2.9859999999999998,87.0,78.0,262.0,592.0,7.0,12.0,2.0,4.0,1640.0,0.659
Niagara,1431.0,16.0,255.0,38.235,81.0,199.0,60.0,90.0,-15.0,1.0,2.0,1.929,38.0,152.0,128.0,330.0,4.0,4.0,10.0,3.0,1530.0,1.765
North Carolina,408.0,44.0,285.0,45.738,94.0,233.0,120.0,36.0,18.0,4.0,5.0,2.728,82.0,130.0,192.0,480.0,7.0,10.0,3.0,6.0,1730.0,0.624
North Florida,939.0,32.0,225.0,40.407000000000004,68.0,189.0,60.0,60.0,-5.0,2.0,2.0,2.442,46.0,110.0,118.0,314.0,1.0,3.0,8.0,4.0,1350.0,1.333
Northeastern,777.0,48.0,255.0,44.348,67.0,239.0,100.0,75.0,0.0,0.0,0.0,1.5699999999999998,74.0,128.0,158.0,360.0,2.0,4.0,7.0,6.0,1530.0,1.471
Northern Ky.,1215.0,38.0,255.0,41.306,70.0,213.0,80.0,87.0,-9.0,1.0,1.0,2.405,59.0,130.0,142.0,364.0,3.0,4.0,10.0,3.0,1530.0,1.706
Northwestern,755.0,54.0,255.0,45.473,80.0,210.0,108.0,51.0,10.0,1.0,1.0,2.89,81.0,98.0,188.0,398.0,6.0,10.0,4.0,3.0,1530.0,1.0
