isHome,shotType,situation,bodyPart,goalMouthLocation,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,playerCoordinates.x,playerCoordinates.y,playerCoordinates.z,goalMouthCoordinates.x,goalMouthCoordinates.y,goalMouthCoordinates.z,draw.start.x,draw.start.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.block.x,draw.block.y,xgot,goalType,color
True,save,assisted,other,low-centre,0.094842582941055,1884243,84,,4993,7,407,shot,Enzo Copetti,,,enzo-copetti,E. Copetti,F,462,860045,8.0,53.6,0,0,48.5,12.0,53.6,8.0,51.5,0,51.5,88.0,1.1,51.3,0.0,51.3,1.1,0.0521,,#ea6969
True,miss,assisted,other,high,0.14131855964661,1884191,74,,4390,17,1010,shot,Enzo Copetti,,,enzo-copetti,E. Copetti,F,462,860045,4.5,54.2,0,0,49.7,66.7,54.2,4.5,50.3,0,50.3,33.3,,,,,,,,#ea6969
True,miss,assisted,head,close-left,0.16446223855019,1884185,71,,4221,20,1179,shot,Kamil Jóźwiak,,,kamil-jozwiak,K. Jóźwiak,M,2804,814820,3.0,39.8,0,0,56.6,26.4,39.8,3.0,43.4,0,43.4,73.6,,,,,,,,#ea6969
True,block,regular,left-foot,low-left,0.036783367395401,1884190,67,,3968,24,1432,shot,Karol Świderski,,,karol-swiderski,K. Świderski,F,3292,576438,18.8,37.1,0,0,52.7,19.0,37.1,18.8,47.3,0,47.3,81.0,15.7,38.8,0.0,38.8,15.7,,,#ea6969
True,miss,regular,head,right,0.10191065818071,1883985,45,,2677,1,23,shot,Derrick Jones,,,derrick-jones,D. Jones,M,36,844982,8.4,50.5,0,0,39.3,8.3,50.5,8.4,60.7,0,60.7,91.7,2.9,58.3,0.0,58.3,2.9,,,#ea6969
True,block,assisted,right-foot,low-centre,0.065781243145466,1883970,45,,2676,1,24,shot,Kamil Jóźwiak,,,kamil-jozwiak,K. Jóźwiak,M,2804,814820,14.6,43.8,0,0,50.5,19.0,43.8,14.6,49.5,0,49.5,81.0,13.1,44.4,0.0,44.4,13.1,,,#ea6969
True,miss,corner,head,left,0.056674130260944,1883947,43,,2525,3,175,shot,Karol Świderski,,,karol-swiderski,K. Świderski,F,3292,576438,7.4,57.3,0,0,62.2,4.2,57.3,7.4,37.8,0,37.8,95.8,,,,,,,,#ea6969
True,save,free-kick,left-foot,high-centre,0.037675879895687,1883946,42,,2491,4,209,shot,Karol Świderski,,,karol-swiderski,K. Świderski,F,3292,576438,24.2,72.8,0,0,49.1,34.8,72.8,24.2,50.9,0,50.9,65.2,0.59999999999999,48.9,0.0,48.9,0.59999999999999,0.0989,,#ea6969
True,miss,assisted,head,left,0.030854515731335,1884062,29,,1690,17,1010,shot,Ashley Westwood,,,ashley-westwood,A. Westwood,M,175,49647,8.8,63.3,0,0,77.3,4.2,63.3,8.8,22.7,0,22.7,95.8,5.9,45.1,0.0,45.1,5.9,,,#ea6969
True,miss,regular,right-foot,close-high,0.16715404391289,1883836,17,,977,29,1723,shot,Adilson Malanda,Adilson Malanda,,adilson-malanda,A. Malanda,D,57,1095645,8.3,56.7,0,0,47.2,50.0,56.7,8.3,52.8,0,52.8,50.0,,,,,,,,#ea6969
